Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Algodón,Frijol de palo,Rocoto,Avena forrajera,Cebada forrajera,Maíz chala,,,,,,,,Año
Ica,0.0,161.9,5.0,66.0,18.0,0,0.0,0.0,63.0,0.0,46.0,0.0,0.0,0,1447.5,0,40.0,2351.8,34.0,0.0,0.0,32,0.0,272.0,202.5,11.0,0,201.5,0.0,38.0,0,72.0,0,0,19671.8,68.5,1363.5,123.0,15.0,0.0,179.2,30,2.0,5.0,3016.55,125,3602.8,342,5,41,9.2,0,0.0,0,51.5,12.0,528.6,0,0.0,0.0,1124.0,16.0,15.5,322.0,12.5,1438.25,0.0,6190.4,0.0,0.0,0.0,0,182.0,,,,,,,,2019
Junín,56.0,151.0,363.0,0.0,91.0,0,656.0,777.0,4470.0,198.0,70.0,142.0,34.0,65,0.0,0,9266.0,194.0,0.0,92.0,28.0,640,0.0,0.0,4417.0,0.0,0,0.0,1611.0,2755.0,0,352.0,0,973,6099.0,8002.0,7970.0,16.0,425.0,549.0,0.0,37,596.0,2558.0,0.0,0,26076.0,0,0,0,0.0,0,0.0,41,1942.0,42.0,0.0,0,53.0,472.0,14.0,3890.0,0.0,8746.0,1034.0,141.0,0.0,0.0,0.0,98.0,5364.0,423,0.0,,,,,,,,2019
La Libertad,20.0,274.5,204.0,0.0,159.5,0,32576.5,8743.0,1671.0,0.0,39.0,299.5,7.0,0,429.0,0,27513.0,627.0,365.5,442.1000000000001,106.5,23,36.0,72.5,2315.9,0.0,177,30.0,5246.5,328.0,59,306.8,1669,0,14062.400000000001,15019.0,1182.0,159.5,22.0,85.0,9.0,2,1125.0,1749.0,30.0,0,25871.5,100,410,60,425.0,156,0.0,134,1154.5,29.5,502.5,0,0.0,4233.0,221.5,29771.0,15.0,1226.0,443.5,595.5,67.5,0.0,77.5,20.0,1419.5,68,3297.5,,,,,,,,2019
Lambayeque,0.0,16.0,0.0,0.0,0.0,0,51279.0,531.0,1115.0,0.0,22.0,0.0,27.0,0,2788.0,0,110.0,477.0,14.0,14.0,0.0,0,0.0,1290.0,685.0,0.0,214,336.0,211.0,20.0,2,14.0,1,0,16224.0,3192.0,3246.0,0.0,0.0,0.0,34.0,0,0.0,290.0,2521.0,0,475.0,159,60,5,545.0,596,0.0,0,157.0,0.0,149.0,0,0.0,0.0,152.0,1599.0,0.0,835.0,72.0,32.0,1578.0,203.0,342.0,0.0,0.0,0,2038.0,,,,,,,,2019
Lima,0.0,682.0,1280.22,0.0,419.0,0,0.0,3.0,604.0,0.0,284.5,2572.0,66.0,0,6462.0,0,140.5,494.0,496.0,435.0,786.0,94,2518.25,1203.0,1118.0,437.5,0,0.0,69.0,354.0,0,4086.0,0,0,13833.6,419.0,3041.0,1315.0,152.0,3.1,195.0,7,68.1,146.6,13.0,272,5577.5,1744,570,225,401.0,0,0.0,207,7.0,0.0,473.0,0,0.0,0.0,676.5,197.5,1149.0,828.0,1901.0,406.0,0.0,976.0,0.0,0.0,17.0,0,10440.0,,,,,,,,2019
Lima Metropolitana,232.0,433.0,17.0,392.0,502.0,0,0.0,0.0,20.0,0.0,637.0,860.0,3.0,0,284.0,0,3.0,220.0,442.0,202.0,31.0,286,64.0,0.0,44.0,0.0,0,0.0,0.0,0.0,0,825.0,0,0,18.0,4.0,65.0,7.0,0.0,0.0,0.0,218,0.0,0.0,0.0,0,36.0,0,166,0,140.0,0,0.0,491,7.0,613.0,0.0,0,0.0,0.0,54.0,2.0,92.0,22.0,7.0,17.0,0.0,3.0,0.0,0.0,0.0,0,1431.0,,,,,,,,2019
Loreto,0.0,457.0,0.0,0.0,0.0,0,35785.0,0.0,0.0,0.0,0.0,0.0,511.0,0,0.0,0,0.0,0.0,273.0,70.0,0.0,0,0.0,6195.0,4581.0,0.0,0,0.0,0.0,0.0,0,76.0,0,0,37227.0,0.0,4823.0,0.0,1297.0,0.0,488.0,0,0.0,0.0,0.0,0,0.0,0,346,0,0.0,0,0.0,0,0.0,0.0,1280.0,0,0.0,0.0,458.0,0.0,0.0,46854.0,0.0,372.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,2019
Madre de Dios,0.0,0.0,0.0,0.0,0.0,0,2366.5,0.0,0.0,0.0,0.0,0.0,2.75,0,50.25,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,219.5,0.0,0,0.0,0.0,0.0,0,1.25,0,0,6426.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,12,0,0.0,0,0.0,0,0.0,0.0,56.5,0,0.0,0.0,2.5,0.0,0.0,1037.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,2019
Moquegua,0.0,0.0,9.0,0.0,0.0,7,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0,2.0,0,96.0,66.0,0.0,0.0,0.0,0,0.0,0.0,10.0,0.0,0,0.0,134.0,73.0,0,7.0,0,0,67.0,665.0,44.0,26.0,0.0,13.0,0.0,0,23.0,9.0,0.0,0,592.0,2,0,0,0.0,0,0.0,0,41.0,0.0,28.0,0,0.0,0.0,2.0,72.0,92.0,0.0,17.0,48.0,0.0,0.0,0.0,0.0,22.0,0,84.0,,,,,,,,2019
Pasco,0.0,279.0,6.0,0.0,0.0,0,1329.0,59.0,708.0,0.0,0.0,0.0,452.0,177,0.0,0,147.0,0.0,0.0,0.0,0.0,0,0.0,0.0,674.0,0.0,0,0.0,514.0,305.0,0,0.0,0,123,3781.0,1635.0,829.0,0.0,0.0,9.0,0.0,0,613.0,714.0,0.0,0,9193.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,210.0,0.0,5082.0,42.0,609.0,0.0,0.0,0.0,1009.0,197.0,0,0.0,,,,,,,,2019
Piura,0.0,0.0,90.0,0.0,0.0,0,46709.0,4454.0,358.0,0.0,20.0,0.0,0.0,0,803.0,0,381.0,211.0,0.0,0.0,0.0,0,0.0,4996.0,6012.0,0.0,114,0.0,516.0,0.0,0,0.0,0,0,14275.007,15444.0,346.0,0.0,355.0,0.0,98.0,5,552.0,441.0,0.0,0,1823.0,701,0,0,283.22,586,0.0,0,0.0,0.0,383.0,0,394.0,0.0,87.0,10052.0,0.0,1157.0,101.0,61.0,0.0,918.0,109.0,0.0,0.0,0,0.0,,,,,,,,2019
Puno,0.0,0.0,0.0,0.0,0.0,72,114.0,1036.0,0.0,7565.0,0.0,0.0,0.0,29,245.0,5638,24426.0,453.0,0.0,1.0,0.0,0,0.0,0.0,535.0,0.0,0,0.0,10055.0,405.0,0,4.0,0,82,2617.0,3936.0,0.0,0.0,31.0,971.0,0.0,0,3515.0,2762.0,0.0,0,60809.0,0,0,0,0.0,0,1750.0,0,36157.0,0.0,0.0,0,37.0,1051.0,0.0,1414.0,0.0,2158.0,19.0,91.0,0.0,0.0,0.0,0.0,75235.0,16496,0.0,,,,,,,,2019
San Martín,0.0,4.0,0.0,0.0,0.0,0,101966.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1054.0,3050.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,43614.0,0.0,0.0,0.0,422.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,79.0,0.0,194.5,0.0,0.0,5679.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,,,,,,,,2019
Tacna,0.0,986.0,21.0,0.0,98.0,0,0.0,0.0,19.0,0.0,76.0,83.0,0.0,0,176.0,0,0.0,398.0,0.0,85.0,67.0,38,0.0,0.0,0.0,0.0,0,0.0,0.0,96.0,0,105.0,0,0,5.0,604.0,111.0,0.0,0.0,0.0,68.0,29,0.0,0.0,0.0,0,424.0,15,141,0,128.0,0,0.0,30,492.0,19.0,472.0,0,0.0,0.0,196.0,8.0,192.0,0.0,0.0,355.0,0.0,0.0,0.0,1.0,32.0,0,2740.0,,,,,,,,2019
Tumbes,0.0,1.59,0.0,0.0,0.0,0,14459.779999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2000000000000002,0,0.0,0.0,2.58,0.0,0.0,0,0.0,92.35,0.6,0.0,0,0.0,0.0,0.0,0,4.9,0,0,1225.8,0.0,409.55000000000007,0.0,0.0,0.0,10.5,0,0.0,0.0,0.0,0,0.0,0,0,0,10.649999999999999,0,0.0,0,0.0,0.0,21.5,0,7.7,0.0,1.4,0.0,0.0,193.45,0.0,17.7,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,2019
Ucayali,0.0,15.0,0.0,0.0,0.0,0,19484.0,0.0,0.0,0.0,0.0,0.0,0.0,0,78.0,0,0.0,0.0,0.0,1.0,0.0,0,0.0,379.0,668.0,0.0,0,0.0,0.0,0.0,0,9.0,0,0,9733.0,0.0,0.0,0.0,181.0,0.0,21.0,0,0.0,0.0,0.0,0,0.0,0,62,0,0.0,0,71.0,0,0.0,0.0,230.0,0,43.0,0.0,27.5,0.0,0.0,7486.0,0.0,12.0,0.0,69.92,260.0,0.0,0.0,0,0.0,,,,,,,,2019
