Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Culantro ,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Perejil,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Algodón,Frijol de palo,Rocoto,Avena forrajera,Cebada forrajera,Maíz chala,,,,,,Año
Ica,0.0,303.0,1.0,64.5,9.5,0.0,0.0,0.0,121.0,0.0,56.0,0.0,0.0,0.0,994.5,0.0,38.0,1714.0,37.0,0.0,0.0,0,34,0.0,111.5,227.5,15.0,60.0,189.5,0.0,92.0,0.0,67.5,0,0,15776.5,31.0,1159.5,136.5,12.0,0.0,191.0,36.0,11.0,0.0,2702.5,347,3299.0,251.5,14.0,24.0,0,20.5,0.0,0.0,0.0,17.0,12.0,513.0,0,0.0,0.0,1054.0,23.0,3.0,480.5,8.0,482.75,0,6190.4,0.0,0.0,0.0,0.0,0.0,,,,,,2020
Junín,53.0,203.0,474.0,0.0,107.0,0.0,624.0,780.0,4509.0,236.0,70.0,165.0,58.0,37.0,0.0,0.0,8750.0,193.0,0.0,102.0,35.0,0,647,0.0,0.0,4405.0,0.0,22.0,0.0,1601.0,2896.0,0.0,399.0,0,1184,6149.0,7689.0,7937.0,10.0,339.0,541.0,0.0,42.0,574.0,2738.0,0.0,0,25854.0,0.0,0.0,0.0,0,0.0,0.0,0.0,39.0,2222.0,47.0,0.0,0,61.0,505.0,5.0,3053.0,0.0,9037.0,1039.0,202.0,0,0.0,0.0,98.0,5322.0,462.0,0.0,,,,,,2020
La Libertad,18.5,237.5,182.0,0.0,151.0,0.0,31425.0,8571.0,1742.0,2.0,37.0,286.0,8.0,0.0,332.0,0.0,26307.0,604.5,313.5,312.80000000000007,51.0,0,28,25.5,65.0,2435.0,0.0,192.0,117.2,4746.0,335.0,50.0,177.50000000000003,1619,0,13230.2,14501.0,979.5,301.5,19.0,0.0,21.0,19.0,962.0,1483.0,28.0,0,25561.0,108.5,428.5,160.0,0,477.0,156.0,0.0,128.5,986.0,44.0,452.0,4,0.0,3853.0,184.0,29721.0,28.5,1220.0,408.0,534.0,118,0.0,49.5,20.0,1535.5,90.0,2836.5,,,,,,2020
Lambayeque,0.0,30.0,0.0,0.0,0.0,5.0,49502.0,489.0,1064.0,0.0,31.0,0.0,36.0,0.0,2815.0,0.0,80.0,542.0,7.0,42.0,0.0,0,0,0.0,996.0,410.0,0.0,168.0,153.0,160.0,175.0,0.0,9.0,0,0,12208.0,2028.0,2902.0,42.0,0.0,0.0,52.0,0.0,80.0,227.0,3652.0,0,620.0,150.0,70.0,10.0,0,415.0,494.0,0.0,0.0,15.0,6.0,145.0,0,0.0,0.0,186.0,1363.0,0.0,805.0,81.0,56.0,839,203.0,248.0,0.0,0.0,0.0,1687.0,,,,,,2020
Lima,0.0,769.5,1216.3,1.0,575.0,0.0,0.0,31.0,711.5,0.0,569.8,2226.8,78.0,0.0,6821.0,0.0,151.5,621.5,547.0,457.8,876.0,0,195,1537.5,1006.0,1180.0,441.5,0.0,0.0,215.0,285.0,0.0,4087.15,0,0,13195.0,623.8,2511.0,1120.3,124.0,1.3,167.4,1.5,62.4,179.85,9.0,257,5592.25,3099.0,703.0,115.5,0,431.0,2.0,0.0,286.0,6.0,1.0,446.0,1,0.0,0.0,793.5,199.3,1389.5,970.0,1720.0,442.0,0,976.0,36.0,0.0,3.0,0.0,9921.0,,,,,,2020
Lima Metropolitana,192.0,219.0,21.0,407.0,403.0,0.0,0.0,0.0,26.0,0.0,575.0,796.0,5.0,0.0,208.0,0.0,4.0,175.0,422.0,168.0,31.0,0,355,69.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,722.0,0,0,11.0,0.0,65.0,2.0,0.0,0.0,1.0,213.0,0.0,0.0,0.0,0,53.0,0.0,180.0,0.0,0,96.0,0.0,0.0,402.0,1.0,563.0,3.0,0,0.0,0.0,63.0,0.0,97.0,17.0,9.0,15.0,0,3.0,0.0,0.0,0.0,0.0,1114.0,,,,,,2020
Loreto,0.0,429.0,0.0,0.0,0.0,0.0,36291.0,0.0,0.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0,0.0,262.0,63.0,0.0,0,0,0.0,6361.0,4685.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0,0,37385.0,0.0,4112.0,0.0,1295.0,0.0,488.0,0.0,0.0,0.0,0.0,0,0.0,0.0,327.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1307.0,0,0.0,0.0,405.0,0.0,0.0,48241.0,0.0,326.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2020
Madre de Dios,0.0,0.0,0.0,0.0,0.0,0.0,2037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40.25,0,0.0,0.0,0.0,0.0,0.0,1195.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2020
Moquegua,0.0,1.0,8.0,0.0,0.0,7.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,107.0,56.0,0.0,0.0,0.0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,127.0,88.0,0.0,5.0,0,0,60.0,604.0,46.0,18.0,0.0,12.0,0.0,0.0,20.0,10.0,0.0,0,533.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.0,0.0,33.0,0,0.0,0.0,6.0,51.0,77.0,0.0,13.0,59.0,0,0.0,0.0,0.0,14.0,0.0,54.0,,,,,,2020
Pasco,0.0,287.0,8.0,0.0,0.0,0.0,1053.0,83.0,729.0,0.0,0.0,0.0,444.0,191.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,558.0,0.0,0.0,0.0,451.0,299.0,0.0,0.0,0,276,3216.0,1516.0,822.33,0.0,0.0,5.0,0.0,0.0,530.0,675.0,0.0,0,9184.73,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,160.0,0.0,4118.0,43.0,532.0,0,0.0,0.0,1009.0,129.0,0.0,0.0,,,,,,2020
Piura,0.0,0.0,102.0,0.0,0.0,0.0,57181.0,4285.0,542.0,0.0,0.0,0.0,0.0,0.0,901.0,0.0,392.0,197.0,0.0,0.0,0.0,0,0,0.0,3059.0,4005.0,0.0,192.0,0.0,493.0,0.0,0.0,0.0,0,0,12091.0,14483.0,265.0,0.0,375.0,0.0,56.0,0.0,492.0,373.0,0.0,0,2594.0,990.0,0.0,0.0,0,293.0,1013.5,0.0,0.0,2.0,0.0,513.0,0,427.0,0.0,87.0,10130.0,0.0,1309.0,150.0,0.0,0,918.0,955.0,0.0,0.0,0.0,0.0,,,,,,2020
Puno,0.0,0.0,0.0,0.0,0.0,70.0,84.0,1075.0,0.0,8136.0,0.0,0.0,0.0,31.0,244.0,5690.0,24790.0,395.0,0.0,0.0,0.0,0,0,0.0,0.0,571.0,0.0,0.0,0.0,10086.0,541.0,0.0,4.0,0,84,2659.0,4056.0,0.0,0.0,29.0,1090.0,0.0,0.0,3571.0,2807.0,0.0,0,61966.0,0.0,0.0,0.0,0,0.0,0.0,1840.0,0.0,36134.0,0.0,0.0,0,38.0,1062.0,0.0,1363.0,0.0,2259.0,20.0,112.0,0,0.0,0.0,0.0,76146.0,16506.0,0.0,,,,,,2020
San Martín,0.0,0.0,0.0,0.0,0.0,0.0,112465.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1185.75,3166.25,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0,0,45763.0,0.0,0.0,0.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.0,0.0,243.0,0.0,0.0,5928.25,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,2020
Tacna,4.0,844.0,24.0,0.0,91.0,0.0,0.0,0.0,23.0,0.0,95.0,87.0,0.0,0.0,217.0,0.0,0.0,358.0,0.0,85.0,69.0,0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,101.0,0,0,0.0,597.0,162.0,0.0,0.0,0.0,103.0,37.0,0.0,0.0,0.0,0,388.0,13.0,117.0,0.0,0,100.0,0.0,0.0,36.0,446.0,19.0,337.0,0,0.0,0.0,206.0,2.0,89.0,0.0,0.0,402.0,0,0.0,0.0,1.0,0.0,0.0,2665.0,,,,,,2020
Tumbes,0.0,1.9,0.0,0.0,0.0,0.0,11991.500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,2.7,2.15,0.0,0.0,0,0,0.0,24.05,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.05,0,0,230.15,0.0,379.9,0.0,1.0,0.0,2.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,15.6,0.0,0.0,0.0,0.0,0.0,9.75,0,1.0,0.0,2.1,0.0,0.0,208.75,0.0,10.6,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2020
Ucayali,0.0,0.0,0.0,0.0,0.0,0.0,14789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,15.0,0.0,0,0,0.0,470.0,613.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0,0,10658.0,0.0,0.0,0.0,224.0,0.0,88.0,0.0,0.0,0.0,0.0,0,0.0,0.0,78.0,0.0,0,0.0,0.0,64.5,0.0,0.0,0.0,296.0,0,51.5,0.0,74.0,0.0,0.0,7925.0,0.0,17.0,0,69.92,247.0,0.0,0.0,0.0,0.0,,,,,,2020
