Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Pacae ,Palma aceitera,Palta,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Uva,Zapote,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol,nan_x,nan_x,nan_x,nan_x,nan_x,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,nan_y,Año
Ica,7.0,256.0,0.0,49,0.0,0.0,0.0,0.0,99.0,0,41.0,0.0,0.0,0.0,1088.0,0,67.0,1403.0,15.0,0.0,0.0,24.5,0.0,380.5,301.0,12,0,44,0.0,0.0,0,64.5,0,0.0,18093.0,68.5,1072.0,85.0,0.5,0.0,109.0,28.85,0.0,4.0,2401.5,15.0,3295.0,590,11.0,16.0,19.0,0,0.0,0.0,9.0,1.0,511.5,0,0.0,0.0,983.0,29.0,0.0,446.0,6.0,958.0,0,1656.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.7,0.0,164.55,0.0,0.0,0.0,156.25,2696.7,30.0,1.0,0,199.45,1.0,0,78.07,185.2,0.0,4646.5,561.09,154.78,0.0,95.5,24.2,994.74,0.0,120.5,0,6504.52,1943.4800000000002,8.5,0.0,0,0.0,0.0,0.0,653.07,0.0,0,19.0,17735.379999999997,0.0,1270,5670.74,885.3900000000001,0.0,0.0,0.0,14284.85,0.0,4.0,22.79,0.0,55.35,0.0,142.75,0.0,415.5,6501.38,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Junín,53.0,210.0,500.0,0,134.0,0.0,338.0,652.0,4541.8,380,91.0,222.0,57.0,39.0,0.0,0,9208.0,173.0,0.0,142.0,60.0,636.0,0.0,0.0,3746.0,0,69,0,1490.0,2927.0,0,421.0,0,1833.0,6447.16,6544.9,7430.0,10.0,296.0,515.0,0.0,50.0,600.62,2522.09,0.0,0.0,23721.0,0,0.0,0.0,0.0,0,0.0,45.0,2679.0,53.0,0.0,0,65.0,587.0,8.0,2850.0,0.0,9157.5,998.0,193.0,0,0.0,420.0,71,26605.0,87905.0,14.0,0.0,0.0,135.0,0,83.0,10.0,0.0,90.0,27.0,0.0,0.0,0.0,671.0,17.0,68,0.0,115.0,349,278.0,26.0,0.0,3926.0,303.0,15.0,10.0,38.0,0.0,13897.0,6.0,205.0,0,4682.0,0.0,6.0,0.0,0,178.0,13.0,0.0,2624.0,0.0,0,68.0,0.0,127.0,266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,339.0,32.0,746.0,6802.0,18095.0,369.5,24.0,3593.0,5626.0,4551.0,1000,0,0.0,0,0.0,3251.0,7752.0,2045.0,,,,,,,,,,,,,,,,2022
La Libertad,8.5,171.5,179.5,0,86.0,0.0,28720.0,9248.8,1529.5,0,32.0,290.5,1.5,0.0,353.5,0,27489.0,722.5,247.19999999999993,123.09999999999998,10.0,34.0,62.5,252.5,2425.5,0,1792,16,4871.5,336.0,47,91.0,1724,0.0,12848.5,14855.5,972.5,97.0,5.0,12.5,27.0,3.5,1254.0,1767.0,41.0,0.0,26040.5,68,283.5,64.5,673.0,221,0.0,67.5,987.0,31.0,445.0,0,0.0,4007.0,325.5,31174.5,23.0,1061.5,419.0,445.0,135,188.0,1.7,0,21.5,189.6,0.0,0.0,21.0,0.0,1,50.5,0.0,93.5,0.0,0.0,0.0,0.0,107.2,34.0,7.5,0,5.0,302.5,0,41.5,73.5,16.0,504.1,268.0,67.75,0.0,16.0,119.04,179.5,6.0,61.5,0,15818.099999999999,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2668.67,0.0,924,0.0,7908.639999999999,0.0,37535.69900000001,0.0,11646.9,82.5,434.0,1236.8,0.0,111.0,1092.5,696.0,28.2,211.0,5542.7,1189.0,0.0,90,0,0.0,0,3482.0,328.0,0.0,207.0,,,,,,,,,,,,,,,,2022
Lambayeque,0.0,0.0,0.0,0,0.0,0.0,47858.65,462.0,1526.0,0,6.0,0.0,17.0,0.0,2499.0,0,60.0,416.0,2.0,20.0,0.0,0.0,0.0,405.0,683.5,0,874,265,130.0,0.0,0,3.0,0,0.0,10421.0,890.0,2839.0,0.0,0.0,0.0,85.0,0.0,20.0,295.0,1367.0,0.0,495.0,196,96.0,10.0,427.54,450,0.0,0.0,31.0,0.0,90.0,0,0.0,0.0,101.0,1390.0,0.0,917.0,34.0,59.0,1918,0.0,0.0,0,40.0,2397.0,0.0,0.0,0.0,0.0,0,23.0,0.0,49.0,22.0,0.0,0.0,0.0,41.0,5.0,0.0,0,0.0,43.0,2,2137.0,1.0,77.0,0.0,4154.0,0.0,0.0,0.0,0.0,280.0,0.0,68.0,0,11402.0,0.0,0.0,0.0,3,0.0,0.0,2.0,0.0,0.0,0,2.0,1990.0,0.0,0,1119.0,3572.0,478.0,21551.558999999997,0.0,3096.0,413.0,21.0,699.0,0.0,47.0,0.0,694.0,0.0,5.0,1404.0,0.0,0.0,0,0,0.0,0,1698.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Lima,0.0,951.8,1493.0,0,642.7,0.0,0.0,13.0,621.9,0,863.5,1257.0,87.0,0.0,5982.5,0,154.7,509.0,1194.0,218.5,690.5,132.0,2140.56,1201.0,1046.0,349,0,0,109.0,349.5,0,2796.0,0,0.0,14351.0,373.0,3172.0,976.0,65.0,0.0,484.0,0.8,53.0,174.3,5.0,171.2,6121.0,1908,812.9,280.419,582.4,0,0.0,288.0,0.0,0.0,389.7,0,0.0,0.0,717.0,127.1,1575.5,914.0,2490.2,514.6,0,99.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1174.0,24.8,36.4,0.0,0.0,56.6,0.0,149.54999999999998,44.9,12.5,0,49.7,2.8,0,8.8,506.71000000000004,0.0,8629.5,610.12,5386.38,0.0,2817.75,150.07,1016.125,64.55,2.45,0,7480.13,181.79999999999998,164.79999999999998,0.0,0,0.0,0.0,0.0,238.8,0.0,0,17.2,3389.2,0.0,182,728.0,494.8,0.0,10847.43,0.0,1572.3,10.0,500.55,3089.54,0.0,42.99,0.0,268.28999999999996,2.7,235.20000000000002,5097.24,0.0,0.0,0,0,0.0,0,12052.2,0.0,5.7,0.0,,,,,,,,,,,,,,,,2022
Lima Metropolitana,141.0,260.0,18.0,320,429.0,0.0,0.0,0.0,39.0,0,534.0,756.0,3.0,0.0,220.0,0,6.0,165.0,350.0,139.0,32.0,319.0,100.0,0.0,55.0,0,0,0,0.0,3.0,0,890.0,0,0.0,28.0,2.0,61.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,41.0,0,158.0,0.0,59.0,0,0.0,311.0,4.0,523.0,0.0,0,0.0,0.0,70.0,4.0,63.0,20.0,7.0,33.0,0,71.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,2.5,0.0,0,0.0,194.65,0.0,319.4,2.0,72.4,0.0,6.0,11.0,0.5,0.0,0.0,0,107.1,8.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,19.48,0.0,58.0,35.0,0.0,0.0,0,0,0.0,0,1067.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Loreto,0.0,427.0,0.0,0,0.0,0.0,37056.0,0.0,0.0,0,0.0,0.0,483.0,0.0,0.0,0,0.0,0.0,272.0,65.0,0.0,0.0,0.0,6632.0,4868.0,0,0,0,0.0,0.0,0,68.0,0,0.0,37831.0,0.0,4197.0,0.0,1340.0,0.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0,312.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1354.0,0,0.0,0.0,442.0,0.0,0.0,48899.0,0.0,350.0,0,0.0,49.0,127,854.0,177.0,401.0,3075.0,0.0,175.0,0,0.0,0.0,0.0,869.0,1265.71,0.0,0.0,0.0,89.0,484.0,0,0.0,30.0,38,1827.0,24.0,0.0,431.0,299.0,0.0,242.0,0.0,0.0,559.0,0.0,963.0,13212,352.0,0.0,0.0,2064.0,184,381.0,0.0,0.0,0.0,189.0,0,628.0,0.0,279.0,0,0.0,0.0,5286.0,0.0,0.0,0.0,0.0,71.0,84.0,0.0,1646.0,2330.0,25360.0,0.0,0.0,0.0,0.0,5322.0,0,0,0.0,0,0.0,2336.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Madre de Dios,0.0,0.0,0.0,0,0.0,0.0,1871.0,0.0,0.0,0,0.0,0.0,0.0,0.0,58.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0,0,0,0.0,0.0,0,2.0,0,0.0,8187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,41.5,0,0.0,0.0,4.0,0.0,0.0,1668.0,0.0,0.0,0,0.0,41.5,0,1535.5,27.0,13.25,6.0,0.0,37.75,0,0.0,0.0,0.0,75.5,100.3,0.0,0.0,0.0,0.0,0.0,0,0.0,51.75,0,101.75,0.0,0.0,76.25,39.0,0.0,5.5,0.0,0.0,180.5,0.0,0.0,0,71.5,0.0,0.0,63.75,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.75,418.25,2860.0,0.0,0.0,0.0,0.0,25899.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Moquegua,0.0,0.0,40.0,0,0.0,6.0,0.0,0.0,46.0,0,0.0,0.0,0.0,0.0,1.0,0,143.0,87.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0,0,0,113.0,70.0,0,9.0,0,0.0,82.0,661.0,47.0,40.0,0.0,10.0,0.0,0.0,27.0,10.0,0.0,0.0,584.0,0,0.0,0.0,0.0,0,0.0,0.0,34.0,0.0,39.0,0,0.0,0.0,9.0,61.0,93.0,0.0,13.0,89.0,0,134.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,33.0,25.0,0.0,0.0,0.0,44.0,0.0,4.0,0.0,8.0,0,19.0,173.0,0,11.0,10.0,0.0,1.0,12.0,92.0,0.0,32.0,21.0,12.0,4.0,20.0,0,1233.0,0.0,31.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,459.0,0.0,0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,724.0,6.0,0.0,1.0,0.0,496.0,10232.0,35.0,0.0,0,0,0.0,0,120.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2022
Pasco,0.0,303.0,9.0,0,0.0,0.0,1272.0,129.0,762.0,0,0.0,0.0,352.0,182.84,0.0,0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.0,0,0,0,592.0,358.0,0,0.0,0,279.5,4371.0,1676.0,892.0,0.0,0.0,3.0,0.0,0.0,605.0,766.0,0.0,0.0,8660.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,191.0,0.0,4655.0,48.5,586.0,0,0.0,4984.0,0,6400.0,17858.0,0.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0,10.0,16.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0,530.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,2097.77,0.0,0.0,163.0,52.0,6271.0,2223.2,4.8,294.0,175.0,51111.0,16,0,0.0,0,0.0,0.0,980.8000000000001,383.219,,,,,,,,,,,,,,,,2022
