Región,sembrada,d-m-y,cosechada,produccion,rendimiento,precio
Nacional,5688,1/1/2019,12221.5,222964.74799999996,18243.648324673733,0.9664752718218937
Amazonas,247,1/1/2019,146.5,2526.2,17243.686006825934,1.3571118676272667
Áncash,103,1/1/2019,312,3537,11336.538461538461,1.3719988690981058
Apurímac,196,1/1/2019,201,3919,19497.512437810947,1.0930594539423324
Arequipa,306,1/1/2019,451,17586.119,38993.611973392464,0.8860050361310532
Ayacucho,1294,1/1/2019,434,8474,19525.345622119814,0.9395208874203447
Cajamarca,1631,1/1/2019,2067,21953.54,10620.967585873246,0.7735761977339416
Callao,0,1/1/2019,0,0,0,0
Cusco,180,1/1/2019,741,11270,15209.176788124158,1.3623247559893523
Huancavelica,187,1/1/2019,729,7786.079000000001,10680.492455418382,0.7004679672528368
Huánuco,684,1/1/2019,3616,63231,17486.449115044248,1.036960668026759
Ica,2,1/1/2019,0,0,0,0
Junín,4,1/1/2019,801,13191.8,16469.16354556804,0.9652062644976426
La Libertad,694,1/1/2019,853,17850.699999999993,20926.963657678774,1.273003915812826
Lambayeque,0,1/1/2019,0,0,0,0
Lima,9,1/1/2019,1431,43428.5,30348.35779175402,0.7878996511507421
Lima Metropolitana,0,1/1/2019,0,0,0,0
Loreto,0,1/1/2019,0,0,0,0
Madre de Dios,0,1/1/2019,0,0,0,0
Moquegua,39,1/1/2019,35,571.81,16337.42857142857,0.8804594183382592
Pasco,0,1/1/2019,314,6536,20815.28662420382,0.7669461444308446
Piura,112,1/1/2019,83,962,11590.361445783134,0.6999999999999998
Puno,0,1/1/2019,0,0,0,0
San Martín,0,1/1/2019,0,0,0,0
Tacna,0,1/1/2019,7,141,20142.85714285714,1.1375886524822696
Tumbes,0,1/1/2019,0,0,0,0
Ucayali,0,1/1/2019,0,0,0,0
Nacional,2699.5,1/2/2022,21409.5,364893.20399999997,17043.51825124361,1.1816046162920588
Amazonas,419.5,1/2/2022,269,4740.879999999999,17624.08921933085,1.4561575066232428
Áncash,10,1/2/2022,1909,23998.7,12571.346254583552,1.4752740773458561
Apurímac,9,1/2/2022,605,12457.99,20591.719008264463,1.1129317008602513
Arequipa,421,1/2/2022,439,14792.813999999998,33696.61503416856,0.9463456040209794
Ayacucho,0,1/2/2022,1462,27154,18573.187414500684,1.004122044634308
Cajamarca,991,1/2/2022,3803,48899.35,12858.0988693137,1.2540657084398872
Callao,0,1/2/2022,0,0,0,0
Cusco,0,1/2/2022,1896,30385.9,16026.318565400847,1.1814571890251728
Huancavelica,4,1/2/2022,912,13578.900000000001,14889.144736842107,1.045595372231919
Huánuco,740,1/2/2022,3868,67043,17332.730093071354,1.0679827871664456
Ica,0,1/2/2022,33,283.4,8587.878787878788,1
Junín,50,1/2/2022,1859,37718.40000000001,20289.61807423346,0.9471785653686265
La Libertad,0,1/2/2022,2002.5,40986.149999999994,20467.49063670412,1.3789584286399195
Lambayeque,0,1/2/2022,155,920,5935.483870967742,1.0937500000000002
Lima,0,1/2/2022,402,10441.199999999999,25973.134328358206,0.8712073324905185
Lima Metropolitana,0,1/2/2022,0,0,0,0
Loreto,0,1/2/2022,0,0,0,0
papare de Dios,0,1/2/2022,0,0,0,0
Moquegua,4,1/2/2022,53,725.57,13690.000000000002,1.6273374036964041
Pasco,1,1/2/2022,710,13412.950000000003,18891.47887323944,0.8599221349516697
Piura,46,1/2/2022,105,1212,11542.857142857143,1.1538613861386138
Puno,0,1/2/2022,853,14671,17199.296600234466,2.1273607797696132
San Martín,0,1/2/2022,0,0,0,0
Tacna,4,1/2/2022,74,1471,19878.37837837838,1.8666213460231136
Tumbes,0,1/2/2022,0,0,0,0
Ucayali,0,1/2/2022,0,0,0,0
Nacional,2599.5,1/2/2021,20169,330818.85000000003,16402.342704149934,0.7804913592438882
Amazonas,338,1/2/2021,179,3143.4200000000005,17561.005586592182,0.8988420891894814
Áncash,0,1/2/2021,1317,16254.599999999999,12342.141230068335,0.8288521403172024
Apurímac,0,1/2/2021,673,13058,19402.67459138187,0.7452688007351815
Arequipa,381,1/2/2021,438,14135.071,32271.85159817351,0.5724970182321686
Ayacucho,1,1/2/2021,1419,21904,15436.222692036647,0.7594393718042367
Cajamarca,875.5,1/2/2021,4188,51610.40000000001,12323.400191021969,0.7034944507308606
Callao,0,1/2/2021,0,0,0,0
Cusco,0,1/2/2021,1218,16817,13807.060755336617,1.1896854373550572
Huancavelica,17,1/2/2021,907,13400.049999999996,14774.035281146633,0.43654426662587104
Huánuco,709,1/2/2021,3443,54926,15952.948010455999,0.7834326366383861
Ica,0,1/2/2021,8,81.19999999999999,10149.999999999998,1
Junín,56,1/2/2021,1628,30585.099999999995,18786.91646191646,0.6102621864894997
La Libertad,7,1/2/2021,2415.5,51951.1,21507.389774373834,0.8666529871359797
Lambayeque,0,1/2/2021,20,140,7000,0.9
Lima,10,1/2/2021,367,11563.4,31507.901907356947,0.6254198592109587
Lima Metropolitana,0,1/2/2021,1,27.65,27650,0.56
Loreto,0,1/2/2021,0,0,0,0
papare de Dios,0,1/2/2021,0,0,0,0
Moquegua,2,1/2/2021,103,1388.3789999999997,13479.407766990289,0.7701564918512886
Pasco,1,1/2/2021,799.5,13896.48,17381.46341463415,0.44526704604331463
Piura,200,1/2/2021,127,1407,11078.740157480315,0.7319829424307035
Puno,0,1/2/2021,857,13209,15413.068844807467,1.5822015292603524
San Martín,0,1/2/2021,0,0,0,0
Tacna,2,1/2/2021,61,1321,21655.737704918032,1.453444360333081
Tumbes,0,1/2/2021,0,0,0,0
Ucayali,0,1/2/2021,0,0,0,0
Nacional,2587.5,1/2/2020,19751.25,321104.9650000001,16257.450287956455,0.718007018359246
Amazonas,467.5,1/2/2020,190.5,3263.7099999999996,17132.335958005246,1.2025363773129354
Áncash,9,1/2/2020,955,11107,11630.366492146597,0.9438966417574501
Apurímac,8,1/2/2020,542,11506,21228.782287822876,0.6760942117156266
Arequipa,508,1/2/2020,490,16829.605000000003,34346.132653061235,0.8147395022045967
Ayacucho,0,1/2/2020,1976,36620,18532.388663967613,0.5738339705079191
Cajamarca,433,1/2/2020,3682,43146.62,11718.25638240087,0.8028993232841879
Callao,0,1/2/2020,0,0,0,0
Cusco,7,1/2/2020,1455,22017,15131.958762886597,1.0270518235908614
Huancavelica,173,1/2/2020,1639,21076.8,12859.548505186089,0.4915388009565019
Huánuco,656,1/2/2020,3385.25,55364,16354.47898973488,0.5712995267682974
Ica,0,1/2/2020,0,0,0,0
Junín,45,1/2/2020,1572,27700.6,17621.24681933842,0.5681591373472052
La Libertad,24,1/2/2020,1821.5,36557.6,20070.05215481746,0.7510357627415366
Lambayeque,70,1/2/2020,50,365,7300,0.9075342465753424
Lima,7,1/2/2020,253,5124.4,20254.545454545452,0.5501853875575677
Lima Metropolitana,0,1/2/2020,3,84.9,28300,0.5
Loreto,0,1/2/2020,0,0,0,0
papare de Dios,0,1/2/2020,0,0,0,0
Moquegua,8,1/2/2020,78,977.3299999999999,12529.871794871793,0.9993006456365814
Pasco,8,1/2/2020,841,17376.4,20661.593341260406,0.37353134135954513
Piura,164,1/2/2020,167,1613,9658.68263473054,1.2
Puno,0,1/2/2020,566,8665,15309.187279151944,1.7781188690132719
San Martín,0,1/2/2020,0,0,0,0
Tacna,0,1/2/2020,85,1710,20117.647058823528,1.8714035087719298
Tumbes,0,1/2/2020,0,0,0,0
Ucayali,0,1/2/2020,0,0,0,0
Nacional,3331.5,1/2/2019,18322,291078.81899999996,15886.847451151621,0.9848916736191647
Amazonas,375,1/2/2019,192.5,3325.2,17273.766233766233,1.5385366293756768
Áncash,20,1/2/2019,987,11032.2,11177.507598784196,0.9767435325683
Apurímac,2,1/2/2019,548,11223,20479.92700729927,1.0916617660162167
Arequipa,366,1/2/2019,431,15386.479999999998,35699.48955916472,1.1301929356162033
Ayacucho,17,1/2/2019,1144,20402,17833.916083916083,0.8068816782668365
Cajamarca,1386.5,1/2/2019,3050,35303.59,11574.947540983607,0.8747001225654389
Callao,0,1/2/2019,0,0,0,0
Cusco,0,1/2/2019,1379,20372,14773.023930384337,1.5097653642254076
Huancavelica,198,1/2/2019,1507,19806.24,13142.82680822827,0.6569995213629642
Huánuco,686,1/2/2019,3586,59751.8,16662.52091466815,0.904045786068369
Ica,0,1/2/2019,16,187,11687.5,1.2352941176470589
Junín,31,1/2/2019,1842,30522.62,16570.369163952226,0.835664533385404
La Libertad,60,1/2/2019,1893.5,35504.6,18750.778980723528,1.0883078249015614
Lambayeque,50,1/2/2019,0,0,0,0
Lima,14,1/2/2019,180,2374.6,13192.222222222223,0.727356186305062
Lima Metropolitana,0,1/2/2019,0,0,0,0
Loreto,0,1/2/2019,0,0,0,0
