Región,sembrada,d-m-y,cosechada,produccion,rendimiento,precio
Arequipa,1320,1/2/2022,1389,83742.695,60289.917206623475,0.14677502497382014
Ayacucho,0,1/2/2022,0,0,0,0
Cajamarca,38,1/2/2022,31,236,7612.903225806452,0.9694915254237289
Callao,0,1/2/2022,0,0,0,0
Cusco,0,1/2/2022,0,0,0,0
Huancavelica,0,1/2/2022,0,0,0,0
Huánuco,44,1/2/2022,43,934,21720.930232558138,0.20576017130620985
Ica,0,1/2/2022,0,0,0,0
Junín,0,1/2/2022,0,0,0,0
La Libertad,339,1/2/2022,271,14145,52195.571955719555,0.18681442205726403
Lambayeque,165,1/2/2022,95,2900,30526.315789473683,0.25
Lima,1184.5,1/2/2022,938,47271.6,50396.162046908314,0.1580442802866838
Lima Metropolitana,131,1/2/2022,72,2395.1,33265.277777777774,0.13791616216441901
Loreto,0,1/2/2022,0,0,0,0
Moquegua,6,1/2/2022,16,1082,67625,0.05
Pasco,0,1/2/2022,0,0,0,0
Piura,0,1/2/2022,0,0,0,0
Puno,0,1/2/2022,0,0,0,0
San Martín,0,1/2/2022,0,0,0,0
Tacna,214,1/2/2022,149,6394,42912.75167785235,0.45863309352517984
Tumbes,0,1/2/2022,0,0,0,0
Ucayali,0,1/2/2022,0,0,0,0
Nacional,3469.5,1/2/2021,3046,155001.29899999997,50886.834865397235,0.16083388939856563
Amazonas,0,1/2/2021,0,0,0,0
Áncash,37,1/2/2021,42,845,20119.047619047622,0.4822958579881657
Apurímac,0,1/2/2021,0,0,0,0
Arequipa,1556,1/2/2021,1525,84931.88899999998,55693.0419672131,0.1482472770622116
Ayacucho,0,1/2/2021,0,0,0,0
Cajamarca,13,1/2/2021,69,473,6855.072463768116,0.9217758985200846
Callao,0,1/2/2021,0,0,0,0
Cusco,0,1/2/2021,0,0,0,0
Huancavelica,0,1/2/2021,0,0,0,0
Huánuco,43,1/2/2021,29,642,22137.931034482757,0.2
Ica,0,1/2/2021,0,0,0,0
Junín,0,1/2/2021,0,0,0,0
La Libertad,275,1/2/2021,244.5,13042,53341.51329243354,0.19194142002760314
Lambayeque,156,1/2/2021,43,1290,30000,0.2
Lima,1005.5,1/2/2021,806.5,41975.6,52046.62120272784,0.13775402853086077
Lima Metropolitana,141,1/2/2021,97,3267.5,33685.56701030928,0.11247957153787298
Loreto,0,1/2/2021,0,0,0,0
Moquegua,11,1/2/2021,7,419.31,59901.42857142857,0.049999999999999996
Pasco,0,1/2/2021,0,0,0,0
Piura,0,1/2/2021,0,0,0,0
Puno,0,1/2/2021,0,0,0,0
San Martín,0,1/2/2021,0,0,0,0
Tacna,232,1/2/2021,183,8115,44344.26229508197,0.3
Tumbes,0,1/2/2021,0,0,0,0
Ucayali,0,1/2/2021,0,0,0,0
Nacional,3061.5,1/2/2020,2899,143907.55500000002,49640.41221110729,0.15849402625178366
Amazonas,0,1/2/2020,0,0,0,0
Áncash,84,1/2/2020,73,1526,20904.109589041094,0.35665792922673656
Apurímac,0,1/2/2020,0,0,0,0
Arequipa,1416,1/2/2020,1238,69049.65500000001,55775.16558966075,0.14748506419040042
Ayacucho,0,1/2/2020,0,0,0,0
Cajamarca,15,1/2/2020,28,238,8500,1
Callao,0,1/2/2020,0,0,0,0
Cusco,0,1/2/2020,0,0,0,0
Huancavelica,0,1/2/2020,0,0,0,0
Huánuco,39,1/2/2020,39.5,896,22683.54430379747,0.19790178571428574
Ica,0,1/2/2020,0,0,0,0
Junín,0,1/2/2020,0,0,0,0
La Libertad,194,1/2/2020,305,17352,56891.80327868853,0.15726717381281693
Lambayeque,330,1/2/2020,90,2939,32655.55555555556,0.16983327662470227
Lima,612.5,1/2/2020,804.5,38110.4,47371.53511497825,0.13443857844577858
Lima Metropolitana,126,1/2/2020,94,3281.3,34907.44680851064,0.11995398165361287
Loreto,0,1/2/2020,0,0,0,0
Moquegua,8,1/2/2020,8,500.2,62525,0.06
Pasco,0,1/2/2020,0,0,0,0
Piura,0,1/2/2020,0,0,0,0
Puno,0,1/2/2020,0,0,0,0
San Martín,0,1/2/2020,0,0,0,0
