Región,meses,cosecha,produccion,rendimiento,precio,year
Lima,Oct,0.0,0.0,0.0,0.0,2020
Lima Metropolitana,Oct,0.0,0.0,0.0,0.0,2020
Loreto,Oct,8575.0,25375.0,2959.1836734693875,0.5986742857142858,2020
Madre de Dios,Oct,42.0,259.0,6166.666666666667,1.3942084942084942,2020
Moquegua,Oct,0.0,0.0,0.0,0.0,2020
Pasco,Oct,0.0,0.0,0.0,0.0,2020
Piura,Oct,0.0,0.0,0.0,0.0,2020
Puno,Oct,0.0,0.0,0.0,0.0,2020
San Martín,Oct,7522.0,59217.929000000004,7872.630816272268,1.018977006102324,2020
Tacna,Oct,0.0,0.0,0.0,0.0,2020
Tumbes,Oct,0.0,0.0,0.0,0.0,2020
Ucayali,Oct,996.0,5190.057999999999,5210.901606425702,0.8164854169259762,2020
Amazonas,Nov,2905.0,25977.7,8942.409638554218,1.1351378297539811,2020
Áncash,Nov,0.0,0.0,0.0,0.0,2020
Apurímac,Nov,0.0,0.0,0.0,0.0,2020
Arequipa,Nov,0.0,0.0,0.0,0.0,2020
Ayacucho,Nov,0.0,0.0,0.0,0.0,2020
Cajamarca,Nov,2379.4,18957.130000000005,7967.1892073632025,1.121246644402396,2020
Callao,Nov,0.0,0.0,0.0,0.0,2020
Cusco,Nov,0.0,0.0,0.0,0.0,2020
Huancavelica,Nov,0.0,0.0,0.0,0.0,2020
Huánuco,Nov,233.0,1564.0,6712.44635193133,0.9968350383631713,2020
Ica,Nov,0.0,0.0,0.0,0.0,2020
Junín,Nov,41.0,114.8,2800.0,1.0,2020
La Libertad,Nov,0.0,0.0,0.0,0.0,2020
Lambayeque,Nov,0.0,0.0,0.0,0.0,2020
Lima,Nov,0.0,0.0,0.0,0.0,2020
Lima Metropolitana,Nov,0.0,0.0,0.0,0.0,2020
Loreto,Nov,4765.0,13833.0,2903.0430220356766,0.6193435986409311,2020
Madre de Dios,Nov,57.0,353.0,6192.982456140351,1.4,2020
Moquegua,Nov,0.0,0.0,0.0,0.0,2020
Pasco,Nov,0.0,0.0,0.0,0.0,2020
Piura,Nov,551.0,4320.0,7840.290381125227,1.1759259259259258,2020
Puno,Nov,0.0,0.0,0.0,0.0,2020
San Martín,Nov,10250.0,81317.85900000001,7933.449658536587,1.0610024125204771,2020
Tacna,Nov,0.0,0.0,0.0,0.0,2020
Tumbes,Nov,616.1,5801.47,9416.442136016882,1.407853475067526,2020
Ucayali,Nov,920.0,4574.9400000000005,4972.760869565218,0.8369414243684068,2020
Amazonas,Dic,4505.0,40985.3,9097.735849056604,1.1499454682532515,2020
Áncash,Dic,0.0,0.0,0.0,0.0,2020
Apurímac,Dic,0.0,0.0,0.0,0.0,2020
Arequipa,Dic,0.0,0.0,0.0,0.0,2020
Ayacucho,Dic,0.0,0.0,0.0,0.0,2020
Cajamarca,Dic,3363.5,26812.359999999997,7971.565333729745,1.0955475385232782,2020
Callao,Dic,0.0,0.0,0.0,0.0,2020
Cusco,Dic,0.0,0.0,0.0,0.0,2020
Huancavelica,Dic,0.0,0.0,0.0,0.0,2020
Huánuco,Dic,382.0,2712.0,7099.476439790576,1.0595132743362832,2020
Ica,Dic,0.0,0.0,0.0,0.0,2020
Junín,Dic,10.0,29.0,2900.0,0.9,2020
La Libertad,Dic,0.0,0.0,0.0,0.0,2020
Lambayeque,Dic,220.0,1810.0,8227.272727272726,1.2619889502762431,2020
Lima,Dic,0.0,0.0,0.0,0.0,2020
Lima Metropolitana,Dic,0.0,0.0,0.0,0.0,2020
Loreto,Dic,5905.0,17441.0,2953.598645215919,0.6694082908090132,2020
Madre de Dios,Dic,107.0,505.3,4722.429906542056,1.44393429645755,2020
Moquegua,Dic,0.0,0.0,0.0,0.0,2020
Pasco,Dic,95.0,142.5,1500.0,1.5105263157894737,2020
Piura,Dic,5601.0,42371.0,7564.899125156222,1.308519978287036,2020
Puno,Dic,0.0,0.0,0.0,0.0,2020
San Martín,Dic,8919.0,70289.10500000001,7880.8280076241745,1.0826386464872473,2020
Tacna,Dic,0.0,0.0,0.0,0.0,2020
Tumbes,Dic,6046.0,52732.33,8721.854118425405,1.387969344423051,2020
Ucayali,Dic,1062.0,4651.688999999999,4380.1214689265535,0.9057213412160615,2020
Amazonas,Ene,3535.0,32222.959999999995,9115.405940594059,0.8467792840881162,2019
Áncash,Ene,35.0,392.0,11200.0,1.0642857142857145,2019
Apurímac,Ene,0.0,0.0,0.0,0.0,2019
Arequipa,Ene,0.0,0.0,0.0,0.0,2019
Ayacucho,Ene,0.0,0.0,0.0,0.0,2019
Cajamarca,Ene,580.0,4218.2,7272.758620689655,1.0612996064672133,2019
Callao,Ene,0.0,0.0,0.0,0.0,2019
Cusco,Ene,10.0,22.0,2200.0,1.0,2019
Huancavelica,Ene,0.0,0.0,0.0,0.0,2019
Huánuco,Ene,832.0,4678.0,5622.596153846154,0.7750235143223599,2019
Ica,Ene,0.0,0.0,0.0,0.0,2019
Junín,Ene,25.0,73.75,2950.0,0.85,2019
La Libertad,Ene,96.0,1008.0,10500.0,1.2,2019
Lambayeque,Ene,504.0,4778.0,9480.15873015873,1.0607157806613647,2019
Lima,Ene,0.0,0.0,0.0,0.0,2019
Lima Metropolitana,Ene,0.0,0.0,0.0,0.0,2019
Loreto,Ene,2821.0,8258.0,2927.3307337823467,0.6636837006539115,2019
Madre de Dios,Ene,495.0,1141.8,2306.6666666666665,1.5115606936416186,2019
Moquegua,Ene,0.0,0.0,0.0,0.0,2019
Pasco,Ene,290.0,415.15,1431.551724137931,1.2350716608454777,2019
Piura,Ene,325.0,2724.0,8381.538461538461,0.94,2019
Puno,Ene,0.0,0.0,0.0,0.0,2019
San Martín,Ene,8362.5,62865.5,7517.548579970105,0.755151076504601,2019
Tacna,Ene,0.0,0.0,0.0,0.0,2019
Tumbes,Ene,2487.0,22063.47,8871.51990349819,0.9777254484448729,2019
Ucayali,Ene,958.0,3644.638999999999,3804.424843423799,0.7863256552980968,2019
Amazonas,Feb,3473.0,31778.435,9150.139648718687,0.9265073940865873,2019
Áncash,Feb,610.0,6914.0,11334.426229508195,1.0609892970783916,2019
Apurímac,Feb,0.0,0.0,0.0,0.0,2019
Arequipa,Feb,690.0,9610.599999999999,13928.405797101448,1.0265997960585187,2019
Ayacucho,Feb,6.0,17.0,2833.3333333333335,1.5,2019
Cajamarca,Feb,506.5,4156.819,8206.947680157948,1.0126242157765348,2019
Callao,Feb,0.0,0.0,0.0,0.0,2019
Cusco,Feb,10.0,20.0,2000.0,2.0,2019
Huancavelica,Feb,0.0,0.0,0.0,0.0,2019
Huánuco,Feb,1218.5,6066.0,4978.251949117767,0.7967309594460931,2019
Ica,Feb,0.0,0.0,0.0,0.0,2019
Junín,Feb,30.0,90.0,3000.0,0.85,2019
La Libertad,Feb,803.5,9411.0,11712.507778469197,1.0596982254808203,2019
Lambayeque,Feb,646.0,6795.0,10518.575851393189,1.0912273730684328,2019
Lima,Feb,0.0,0.0,0.0,0.0,2019
Lima Metropolitana,Feb,0.0,0.0,0.0,0.0,2019
Loreto,Feb,1700.0,5034.0,2961.176470588235,0.629807310290028,2019
Madre de Dios,Feb,674.0,1493.7,2216.1721068249262,1.5429671286068152,2019
Moquegua,Feb,0.0,0.0,0.0,0.0,2019
Pasco,Feb,319.0,456.38,1430.6583072100314,1.3157018274245147,2019
Piura,Feb,0.0,0.0,0.0,0.0,2019
Puno,Feb,0.0,0.0,0.0,0.0,2019
San Martín,Feb,7494.0,57351.5,7652.989057912997,0.749292956592242,2019
Tacna,Feb,0.0,0.0,0.0,0.0,2019
Tumbes,Feb,0.0,0.0,0.0,0.0,2019
Ucayali,Feb,1151.0,4867.63,4229.044309296264,0.6872821475748978,2019
Amazonas,Mar,3993.0,36663.52000000001,9181.948409717008,0.8259179969626482,2019
Áncash,Mar,2980.0,35710.0,11983.221476510067,0.93,2019
Apurímac,Mar,0.0,0.0,0.0,0.0,2019
Arequipa,Mar,4067.0,59189.7,14553.651340054093,1.0563401064712272,2019
Ayacucho,Mar,7.0,18.0,2571.4285714285716,1.5,2019
Cajamarca,Mar,1219.6,9612.448,7881.639881928501,0.86950412631621,2019
Callao,Mar,0.0,0.0,0.0,0.0,2019
Cusco,Mar,0.0,0.0,0.0,0.0,2019
Huancavelica,Mar,0.0,0.0,0.0,0.0,2019
Huánuco,Mar,888.0,5050.0,5686.936936936937,0.7616039603960397,2019
Ica,Mar,0.0,0.0,0.0,0.0,2019
Junín,Mar,13.0,36.4,2800.0,0.8,2019
La Libertad,Mar,6661.0,84413.5,12672.796877345745,1.1258126366043344,2019
Lambayeque,Mar,0.0,0.0,0.0,0.0,2019
Lima,Mar,0.0,0.0,0.0,0.0,2019
Lima Metropolitana,Mar,0.0,0.0,0.0,0.0,2019
Loreto,Mar,1105.0,3233.0,2925.79185520362,0.6565171667182184,2019
Madre de Dios,Mar,578.0,1321.5,2286.332179930796,1.478130911842603,2019
Moquegua,Mar,0.0,0.0,0.0,0.0,2019
Pasco,Mar,139.0,192.1,1382.0143884892086,1.1025507548152005,2019
Piura,Mar,0.0,0.0,0.0,0.0,2019
Puno,Mar,0.0,0.0,0.0,0.0,2019
San Martín,Mar,7585.0,56692.0,7474.225444957153,0.724295226839766,2019
Tacna,Mar,0.0,0.0,0.0,0.0,2019
Tumbes,Mar,0.0,0.0,0.0,0.0,2019
Ucayali,Mar,593.0,2081.479,3510.082630691399,0.8449654788734355,2019
Amazonas,Abr,3718.0,33921.3,9123.534158149545,0.8133271720128651,2019
Áncash,Abr,1250.0,15150.0,12120.0,0.93,2019
Apurímac,Abr,0.0,0.0,0.0,0.0,2019
Arequipa,Abr,7852.0,113283.02999999998,14427.283494651043,0.9596241555332693,2019
Ayacucho,Abr,0.0,0.0,0.0,0.0,2019
Cajamarca,Abr,1316.5,10566.45,8026.167869350552,0.8539199636585607,2019
Callao,Abr,0.0,0.0,0.0,0.0,2019
Cusco,Abr,248.0,473.65,1909.8790322580644,1.008640346247229,2019
Huancavelica,Abr,0.0,0.0,0.0,0.0,2019
Huánuco,Abr,491.0,3372.0,6867.617107942974,0.7397093712930011,2019
Ica,Abr,0.0,0.0,0.0,0.0,2019
Junín,Abr,96.15,316.55,3292.2516900676023,0.9491944400568632,2019
La Libertad,Abr,16572.0,157516.0,9504.94810523775,0.9649715584448564,2019
Lambayeque,Abr,0.0,0.0,0.0,0.0,2019
Lima,Abr,0.0,0.0,0.0,0.0,2019
Lima Metropolitana,Abr,0.0,0.0,0.0,0.0,2019
Loreto,Abr,459.0,1399.0,3047.9302832244007,0.6552466047176555,2019
Madre de Dios,Abr,119.5,313.55,2623.8493723849374,1.4905756657630362,2019
Moquegua,Abr,0.0,0.0,0.0,0.0,2019
Pasco,Abr,97.0,136.98,1412.164948453608,1.521828004088188,2019
Piura,Abr,0.0,0.0,0.0,0.0,2019
Puno,Abr,80.0,145.9,1823.75,1.8060315284441397,2019
San Martín,Abr,9027.0,66722.0,7391.381411321591,0.739629732322173,2019
Tacna,Abr,0.0,0.0,0.0,0.0,2019
Tumbes,Abr,0.0,0.0,0.0,0.0,2019
Ucayali,Abr,884.0,4076.3869999999993,4611.297511312216,0.7598896768142966,2019
Amazonas,May,5626.0,50517.22,8979.242801279772,0.7823301836482689,2019
Áncash,May,575.0,7080.0,12313.04347826087,0.98,2019
Apurímac,May,0.0,0.0,0.0,0.0,2019
Arequipa,May,5482.0,71962.568,13127.064574972637,1.045148427721479,2019
Ayacucho,May,0.0,0.0,0.0,0.0,2019
Cajamarca,May,2753.9,22189.46,8057.46759141581,0.849981630918463,2019
Callao,May,0.0,0.0,0.0,0.0,2019
Cusco,May,541.0,923.95,1707.8558225508318,0.6051615347150819,2019
Huancavelica,May,0.0,0.0,0.0,0.0,2019
Huánuco,May,518.0,3723.0,7187.258687258687,0.7320843405855494,2019
Ica,May,0.0,0.0,0.0,0.0,2019
Junín,May,214.0,759.7,3550.0000000000005,1.0380281690140847,2019
La Libertad,May,7933.0,71926.0,9066.68347409555,1.0022224230459085,2019
Lambayeque,May,13776.0,97331.0,7065.258420441348,1.0080246786738039,2019
Lima,May,0.0,0.0,0.0,0.0,2019
Lima Metropolitana,May,0.0,0.0,0.0,0.0,2019
Loreto,May,118.0,369.0,3127.1186440677966,0.7286991869918699,2019
Madre de Dios,May,35.0,217.0,6200.0,1.4147465437788018,2019
Moquegua,May,0.0,0.0,0.0,0.0,2019
Pasco,May,45.0,64.28,1428.4444444444443,1.2,2019
Piura,May,2748.0,24266.0,8830.42212518195,0.9074631171186022,2019
Puno,May,34.0,62.0,1823.5294117647059,1.8,2019
San Martín,May,9814.0,71397.1,7275.025473812921,0.736696308393478,2019
Tacna,May,0.0,0.0,0.0,0.0,2019
Tumbes,May,0.0,0.0,0.0,0.0,2019
Ucayali,May,2380.0,11336.719,4763.327310924369,0.711045962240045,2019
Amazonas,Jun,5790.0,51872.950000000004,8959.05872193437,0.8082599505137069,2019
Áncash,Jun,70.0,750.0,10714.285714285714,1.0,2019
Apurímac,Jun,0.0,0.0,0.0,0.0,2019
Arequipa,Jun,1471.0,17981.111999999997,12223.733514615906,1.0945969971156404,2019
Ayacucho,Jun,10.0,29.0,2900.0,1.5,2019
Cajamarca,Jun,4371.5,35000.02,8006.409699187921,0.9271574759100137,2019
Callao,Jun,0.0,0.0,0.0,0.0,2019
Cusco,Jun,220.0,407.22,1851.0000000000002,0.5,2019
Huancavelica,Jun,0.0,0.0,0.0,0.0,2019
Huánuco,Jun,453.0,3274.0,7227.373068432671,0.732923029932804,2019
Ica,Jun,0.0,0.0,0.0,0.0,2019
Junín,Jun,121.0,426.0,3520.6611570247933,1.0612676056338024,2019
La Libertad,Jun,402.0,3248.6,8081.094527363184,1.0899202733485194,2019
Lambayeque,Jun,28072.0,182180.0,6489.740666856655,1.0148867054561423,2019
Lima,Jun,0.0,0.0,0.0,0.0,2019
Lima Metropolitana,Jun,0.0,0.0,0.0,0.0,2019
Loreto,Jun,247.0,755.0,3056.6801619433195,0.6752582781456954,2019
Madre de Dios,Jun,40.0,243.0,6075.0,1.4349794238683127,2019
Moquegua,Jun,0.0,0.0,0.0,0.0,2019
Pasco,Jun,44.0,66.0,1500.0,1.009090909090909,2019
Piura,Jun,21283.0,170881.0,8028.990273927548,0.9937120569285058,2019
Puno,Jun,0.0,0.0,0.0,0.0,2019
San Martín,Jun,10001.0,74438.5,7443.105689431057,0.781421441861402,2019
Tacna,Jun,0.0,0.0,0.0,0.0,2019
Tumbes,Jun,2029.0,17764.98,8755.534746180385,1.0687852505322268,2019
Ucayali,Jun,1660.0,7787.9,4691.506024096386,0.7010813698172806,2019
Amazonas,Jul,5987.0,52137.75,8708.493402371805,0.8033461743170734,2019
Áncash,Jul,0.0,0.0,0.0,0.0,2019
Apurímac,Jul,0.0,0.0,0.0,0.0,2019
Arequipa,Jul,585.0,6867.0,11738.461538461537,1.1,2019
Ayacucho,Jul,9.0,27.0,3000.0,1.5,2019
