Región,meses,cosecha,year,produccion,rendimiento
La Libertad,Jun,4.200000000000001,2022,,
Lambayeque,Jun,9.0,2022,,
Lima,Jun,0.0,2022,,
Lima Metropolitana,Jun,0.0,2022,,
Loreto,Jun,0.0,2022,,
cafere de Dios,Jun,0.0,2022,,
Moquegua,Jun,0.0,2022,,
Pasco,Jun,12.318142009260198,2022,,
Piura,Jun,7.9704487179487185,2022,,
Puno,Jun,15.047824452084228,2022,,
San Martín,Jun,12.120450085940709,2022,,
Tacna,Jun,0.0,2022,,
Tumbes,Jun,0.0,2022,,
Ucayali,Jun,7.645417941622516,2022,,
Amazonas,Jul,13.357930992191658,2022,,
Áncash,Jul,0.0,2022,,
Apurímac,Jul,0.0,2022,,
Arequipa,Jul,0.0,2022,,
Ayacucho,Jul,10.975609756097562,2022,,
Cajamarca,Jul,13.46162010847745,2022,,
Callao,Jul,0.0,2022,,
Cusco,Jul,11.928647925033466,2022,,
Huancavelica,Jul,14.461538461538462,2022,,
Huánuco,Jul,12.764063613684959,2022,,
Ica,Jul,0.0,2022,,
Junín,Jul,12.044758215551765,2022,,
La Libertad,Jul,4.219826737546761,2022,,
Lambayeque,Jul,14.901840490797543,2022,,
Lima,Jul,0.0,2022,,
Lima Metropolitana,Jul,0.0,2022,,
Loreto,Jul,2.852857142857143,2022,,
cafere de Dios,Jul,0.0,2022,,
Moquegua,Jul,0.0,2022,,
Pasco,Jul,8.982153219684259,2022,,
Piura,Jul,7.69951503990178,2022,,
Puno,Jul,13.940087472290456,2022,,
San Martín,Jul,14.239086600603189,2022,,
Tacna,Jul,0.0,2022,,
Tumbes,Jul,0.0,2022,,
Ucayali,Jul,7.586157509190925,2022,,
Amazonas,Ago,13.06845586051028,2022,,
Áncash,Ago,0.0,2022,,
Apurímac,Ago,0.0,2022,,
Arequipa,Ago,0.0,2022,,
Ayacucho,Ago,15.244897959183673,2022,,
Cajamarca,Ago,13.97516953275398,2022,,
Callao,Ago,0.0,2022,,
Cusco,Ago,13.556627783669141,2022,,
Huancavelica,Ago,14.208333333333334,2022,,
Huánuco,Ago,12.919505331753554,2022,,
Ica,Ago,0.0,2022,,
Junín,Ago,12.686771101183197,2022,,
La Libertad,Ago,4.29551451187335,2022,,
Lambayeque,Ago,17.0,2022,,
Lima,Ago,0.0,2022,,
Lima Metropolitana,Ago,0.0,2022,,
Loreto,Ago,2.8,2022,,
cafere de Dios,Ago,0.0,2022,,
Moquegua,Ago,0.0,2022,,
Pasco,Ago,14.699623483475111,2022,,
Piura,Ago,7.589969159599075,2022,,
Puno,Ago,14.383422390199401,2022,,
San Martín,Ago,15.130352495859947,2022,,
Tacna,Ago,0.0,2022,,
Tumbes,Ago,0.0,2022,,
Ucayali,Ago,7.908899820231892,2022,,
Amazonas,Set,13.618302848765133,2022,,
