cultivo,produccion_std,precio_std
acelga,6.75180029456991,0.048272425024422624
aji,96.25609224185565,0.22640470738352467
ajo,682.4879591469818,0.5965565687721043
albahaca,6.305034203713079,0.0632543781551895
apio,22.210317586796528,0.04490299195094886
arracacha,30.200354060768102,0.06642399710355286
arvejags,312.21583222120336,0.4573258469183932
arvejagv,297.5515386619699,0.28006740269152763
avenag,214.72066384060588,0.19416634557054607
brocoli,51.06984298348527,0.06960682735906115
caigua,12.009974102270627,0.07799222260529297
calabaza,97.03385714385746,0.07535724689497679
camote,334.3869983049036,0.09789084930571014
cañihua,78.38476469641003,0.22058014703938458
cebada,1765.764394266777,0.35687835062055245
cebollacabeza,1096.0636350830305,0.13709709295523273
cebollachina,29.10678840851916,0.0688123327244067
col,35.64352417195997,0.07130172764495223
coliflor,33.93564107343221,0.08291361228619151
espinaca,40.29870471729914,0.10043882997503577
fresa,164.70298776697982,0.1761258966247863
castilla,110.6823651008768,0.13626908706055227
Frijol,429.412659699823,0.3707738034375097
frijolverd,72.45815704013576,0.1389077692340375
loctao,34.70163185182816,0.34044488758815744
garbanzo,5.007670838491479,0.18610180055154754
habags,707.2690816200242,0.5212107146999385
habagv,378.0926965038136,0.11491620961784568
kiwicha,67.88799497188023,0.3058272042531397
lechuga,75.14123556835231,0.09600202318384314
lenteja,29.28105410887981,0.28998084030298144
maca,123.44106533250077,0.19410666863250356
MAD,2325.744720030539,0.1867348497241136
Amilac,2819.8258691379574,0.5944781270174411
choclo,1528.617772239575,0.13851179027727595
Mmorado,80.73064532767678,0.11236070688312304
mani,16.31873357986204,0.17764852506839607
mashua,499.61967350725547,0.16130381284542478
melon,55.66483571665514,0.05066936391440285
nabo,6.634529358347806,0.03622748639652405
oca,975.5429859755709,0.2705488866018352
olluco,1544.9773990925853,0.21677846287665486
pallargs,80.85226327037502,0.22402815361972828
pallarverd,14.763128978998317,0.062382481702355295
Papa,27039.507556279616,0.20747737510967257
paprika,71.69105669110071,0.3793974216696243
pepinillo,69.15652427896164,0.06578942343502421
pepino,48.26386188445682,0.05063451315543951
pimiento,280.97940319976425,0.10771596459176845
piquillo,199.84142383498911,0.03719089231681899
pituca,235.46516018125283,0.04828794728983599
