Región,Año,Cultivo,rendimiento,siembras,cosecha,precio,produccion
Cajamarca,2021,Albahaca,0.0,0,0,0.0,0.0
Callao,2021,Albahaca,0.0,0,0,0.0,0.0
Cusco,2021,Albahaca,0.0,0,0,0.0,0.0
Huancavelica,2021,Albahaca,0.0,0,0,0.0,0.0
Huánuco,2021,Albahaca,0.0,0,0,0.0,0.0
Ica,2021,Albahaca,5754.473684210527,73,76,0.9168957790277588,437.34
Junín,2021,Albahaca,0.0,0,0,0.0,0.0
La Libertad,2021,Albahaca,0.0,0,0,0.0,0.0
Lambayeque,2021,Albahaca,0.0,0,0,0.0,0.0
Lima,2021,Albahaca,0.0,0,0,0.0,0.0
Lima Metropolitana,2021,Albahaca,11951.132791327913,374,369,0.855207684046687,4409.968
Loreto,2021,Albahaca,0.0,0,0,0.0,0.0
Madre de Dios,2021,Albahaca,0.0,0,0,0.0,0.0
Moquegua,2021,Albahaca,0.0,0,0,0.0,0.0
Pasco,2021,Albahaca,0.0,0,0,0.0,0.0
Piura,2021,Albahaca,0.0,0,0,0.0,0.0
Puno,2021,Albahaca,0.0,0,0,0.0,0.0
San Martín,2021,Albahaca,0.0,0,0,0.0,0.0
Tacna,2021,Albahaca,0.0,0,0,0.0,0.0
Tumbes,2021,Albahaca,0.0,0,0,0.0,0.0
Ucayali,2021,Albahaca,0.0,0,0,0.0,0.0
Amazonas,2021,Apio,0.0,0.0,0.0,0.0,0.0
Áncash,2021,Apio,8490.566037735849,103.0,106.0,1.4501555555555556,900.0
Apurímac,2021,Apio,0.0,0.0,0.0,0.0,0.0
Arequipa,2021,Apio,26752.66369047619,312.0,336.0,0.7244752441762864,8988.895
Ayacucho,2021,Apio,13867.924528301886,53.0,53.0,0.9648979591836736,735.0
Cajamarca,2021,Apio,0.0,0.0,0.0,0.0,0.0
Callao,2021,Apio,0.0,0.0,0.0,0.0,0.0
Cusco,2021,Apio,0.0,0.0,0.0,0.0,0.0
Huancavelica,2021,Apio,0.0,0.0,0.0,0.0,0.0
Huánuco,2021,Apio,12126.666666666666,15.0,15.0,1.2386146234194613,181.9
Ica,2021,Apio,0.0,0.0,0.0,0.0,0.0
